name_of_state_or_ut,state_ut_code,constituency_code,constituency_name,total_votes,nota_position
Karnataka,S10,27,Chikkballapur,822619,3
Maharashtra,S13,29,MumbaiNorthCentral,445545,3
Karnataka,S10,25,Bangalorecentral,658915,3
NCT OF Delhi,U05,6,WestDelhi,842658,3
Maharashtra,S13,25,Thane,734231,3
Maharashtra,S13,47,Kolhapur,754522,3
Karnataka,S10,26,BangaloreSouth,750830,3
Maharashtra,S13,27,MumbaiNorthWest,452644,3
Karnataka,S10,24,BangaloreNorth,986049,3
Maharashtra,S13,26,MumbaiNorth,680146,3
Karnataka,S10,21,Mysore,795503,3
Gujarat,S06,7,AhmedabadEast,770459,3
Karnataka,S10,11,Dharwad,716231,3
Karnataka,S10,23,BangaloreRural,1079002,3
Andhra Pradesh,S01,3,Vizianagaram,743113,3
Rajasthan,S20,16,JODHPUR,730056,3
Andhra Pradesh,S01,5,Anakapalle,762069,3
Jharkhand,S27,5,Kodarma,791657,3
Rajasthan,S20,24,KOTA,750496,3
Rajasthan,S20,6,JAIPURRURAL,617877,3
Maharashtra,S13,31,MumbaiSouth,395655,3
Rajasthan,S20,13,AJMER,747462,3
Karnataka,S10,5,Gulbarga,652321,3
Karnataka,S10,10,Haveri,705538,3
Gujarat,S06,9,Surendranagar,669749,3
Bihar,S04,38,Gaya,494960,3
Gujarat,S06,5,Sabarkantha,677318,3
Gujarat,S06,6,Gandhinagar,1010972,3
Bihar,S04,21,Hajipur,615718,3
Gujarat,S06,25,Navsari,1031065,3
Madhya Pradesh,S12,26,INDORE,1226751,2
Gujarat,S06,20,Vadodara,873189,3
Bihar,S04,5,Sitamarhi,515719,3
Gujarat,S06,22,Bharuch,608157,3
Gujarat,S06,15,Bhavnagar,716883,3
Uttar Pradesh,S24,25,Bareilly,567127,3
Rajasthan,S20,7,JAIPUR,886850,3
Bihar,S04,22,Ujiarpur,515965,3
Andhra Pradesh,S01,10,Eluru,746351,3
Uttarakhand,S28,2,Garhwal,432159,3
Andhra Pradesh,S01,2,Srikakulam,754328,3
Maharashtra,S13,32,Raigad,508352,3
Karnataka,S10,12,UttaraKannada,782495,3
Gujarat,S06,11,Porbandar,633118,3
Bihar,S04,6,Madhubani,553428,3
Bihar,S04,23,Samastipur,579786,3
Bihar,S04,25,Khagaria,538657,3
Bihar,S04,26,Bhagalpur,536031,3
Bihar,S04,28,Munger,550146,3
Bihar,S04,3,PurviChamparan,542193,3
Gujarat,S06,17,Kheda,744435,3
Rajasthan,S20,18,JALORE,796783,3
Himachal Pradesh,S08,3,HAMIRPUR,607068,3
Gujarat,S06,2,Banaskantha,671883,3
Bihar,S04,4,Sheohar,476612,3
Chhattisgarh,S26,10,BASTAR,458398,3
Gujarat,S06,13,Junagadh,584049,3
Maharashtra,S13,1,Nandurbar,745998,3
Madhya Pradesh,S12,28,KHANDWA,862679,3
Bihar,S04,17,Gopalganj,511866,3
Gujarat,S06,1,Kachchh,659574,3
Assam,S03,10,Kaziranga,897043,3
Bihar,S04,24,Begusarai,649331,3
Bihar,S04,27,Banka,506678,3
Bihar,S04,1,ValmikiNagar,523422,3
Karnataka,S10,9,Bellary,730845,3
Karnataka,S10,15,UdupiChikmagalur,732234,3
Rajasthan,S20,23,BHILWARA,807640,3
Rajasthan,S20,22,RAJSAMAND,781203,3
Gujarat,S06,3,Patan,591947,3
Chhattisgarh,S26,1,SURGUJA,713200,3
Himachal Pradesh,S08,2,MANDI,537022,3
Chhattisgarh,S26,11,KANKER,597624,3
Gujarat,S06,19,Dahod,688715,3
Rajasthan,S20,2,BIKANER,566737,3
Karnataka,S10,17,DakshinaKannada,764132,3
Bihar,S04,37,Aurangabad,465567,3
Bihar,S04,11,Katihar,567092,3
Tripura,S23,2,TripuraEast,777447,3
Gujarat,S06,10,Rajkot,857984,3
Tripura,S23,1,TripuraWest,881341,3
Gujarat,S06,14,Amreli,580872,3
Gujarat,S06,18,Panchmahal,794579,3
Karnataka,S10,6,Raichur,670966,3
Assam,S03,5,Guwahati,894887,3
Madhya Pradesh,S12,23,MANDSOUR,945761,3
Bihar,S04,14,Darbhanga,566630,3
Bihar,S04,13,Madhepura,640649,3
Bihar,S04,40,Jamui,509046,3
Jharkhand,S27,11,Khunti,511647,3
Uttarakhand,S28,3,Almora,429167,3
Madhya Pradesh,S12,25,DHAR,794449,3
Rajasthan,S20,25,JHALAWAR-BARAN,865376,3
Gujarat,S06,26,Valsad,764226,3
Gujarat,S06,16,Anand,612484,3
Gujarat,S06,8,AhmedabadWest,611704,3
Gujarat,S06,21,ChhotaUdaipur,796589,3
Gujarat,S06,4,Mahesana,686406,3
Madhya Pradesh,S12,27,KHARGONE,819863,3
Bihar,S04,19,Maharajganj,529533,3
Assam,S03,14,Jorhat,751771,3
Gujarat,S06,23,Bardoli,763950,3
