name_of_state_or_ut,state_ut_code,constituency_code,constituency_name,total_votes,nota_position,mov,winning_party,condition
Karnataka,S10,27,Chikkballapur,822619,3,10.677937314641827,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,29,MumbaiNorthCentral,445545,3,1.8136052240264822,Indian National Congress,Indian National Congress
Karnataka,S10,25,Bangalorecentral,658915,3,2.484371558134768,Bharatiya Janata Party,Bharatiya Janata Party
NCT OF Delhi,U05,6,WestDelhi,842658,3,13.05436426775048,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,25,Thane,734231,3,16.577519273253948,Shiv Sena,Shiv Sena
Maharashtra,S13,47,Kolhapur,754522,3,11.121876718011436,Indian National Congress,Indian National Congress
Karnataka,S10,26,BangaloreSouth,750830,3,22.178314664839572,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,27,MumbaiNorthWest,452644,3,0.0050264990748116745,Shiv Sena,Shiv Sena
Karnataka,S10,24,BangaloreNorth,986049,3,14.80601470809767,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,26,MumbaiNorth,680146,3,34.53504755705737,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,21,Mysore,795503,3,9.381241693180003,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,7,AhmedabadEast,770459,3,40.923428154127436,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,11,Dharwad,716231,3,7.122183753863004,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,23,BangaloreRural,1079002,3,14.047480125446727,Bharatiya Janata Party,Bharatiya Janata Party
Andhra Pradesh,S01,3,Vizianagaram,743113,3,19.192036587487166,Telugu Desam,Telugu Desam
Rajasthan,S20,16,JODHPUR,730056,3,8.359143194506874,Bharatiya Janata Party,Bharatiya Janata Party
Andhra Pradesh,S01,5,Anakapalle,762069,3,22.374016472853597,Bharatiya Janata Party,Bharatiya Janata Party
Jharkhand,S27,5,Kodarma,791657,3,27.51999322609937,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,24,KOTA,750496,3,2.797973812074339,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,6,JAIPURRURAL,617877,3,0.12796599828533428,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,31,MumbaiSouth,395655,3,6.813104940674908,Shiv Sena (Uddhav Balasaheb Thackrey),Shiv Sena (Uddhav Balasaheb Thackrey)
Rajasthan,S20,13,AJMER,747462,3,27.472258506017834,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,5,Gulbarga,652321,3,2.075961653657404,Indian National Congress,Indian National Congress
Karnataka,S10,10,Haveri,705538,3,3.1173968987227463,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,9,Surendranagar,669749,3,23.123768646525427,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,38,Gaya,494960,3,10.564961667614426,Hindustani Awam Morcha (Secular),Hindustani Awam Morcha (Secular)
Gujarat,S06,5,Sabarkantha,677318,3,12.264625109701122,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,6,Gandhinagar,1010972,3,56.34096483437004,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,21,Hajipur,615718,3,14.723575377989206,Lok Janshakti Party(Ram Vilas),Lok Janshakti Party(Ram Vilas)
Gujarat,S06,25,Navsari,1031065,3,57.80464439223564,Bharatiya Janata Party,Bharatiya Janata Party
Madhya Pradesh,S12,26,INDORE,1226751,2,64.5389022054229,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,20,Vadodara,873189,3,48.024294043059065,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,5,Sitamarhi,515719,3,4.694367052044251,Janata Dal  (United),Janata Dal  (United)
Gujarat,S06,22,Bharuch,608157,3,7.147504011796846,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,15,Bhavnagar,716883,3,43.47546675426267,Bharatiya Janata Party,Bharatiya Janata Party
Uttar Pradesh,S24,25,Bareilly,567127,3,3.1087268368409693,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,7,JAIPUR,886850,3,22.673171785153407,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,22,Ujiarpur,515965,3,5.767569870680223,Bharatiya Janata Party,Bharatiya Janata Party
Andhra Pradesh,S01,10,Eluru,746351,3,13.158505957458816,Telugu Desam,Telugu Desam
Uttarakhand,S28,2,Garhwal,432159,3,22.171972699818692,Bharatiya Janata Party,Bharatiya Janata Party
Andhra Pradesh,S01,2,Srikakulam,754328,3,26.535948452924124,Telugu Desam,Telugu Desam
Maharashtra,S13,32,Raigad,508352,3,8.16996818228472,Nationalist Congress Party,Nationalist Congress Party
Karnataka,S10,12,UttaraKannada,782495,3,26.721446101043668,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,11,Porbandar,633118,3,41.26689896520581,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,6,Madhubani,553428,3,14.784553889745144,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,23,Samastipur,579786,3,17.1069220312226,Lok Janshakti Party(Ram Vilas),Lok Janshakti Party(Ram Vilas)
Bihar,S04,25,Khagaria,538657,3,15.17392508103445,Lok Janshakti Party(Ram Vilas),Lok Janshakti Party(Ram Vilas)
Bihar,S04,26,Bhagalpur,536031,3,9.855264777775375,Janata Dal  (United),Janata Dal  (United)
Bihar,S04,28,Munger,550146,3,7.099582909380459,Janata Dal  (United),Janata Dal  (United)
Bihar,S04,3,PurviChamparan,542193,3,8.222779801953639,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,17,Kheda,744435,3,30.425531191106337,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,18,JALORE,796783,3,13.888731922658677,Bharatiya Janata Party,Bharatiya Janata Party
Himachal Pradesh,S08,3,HAMIRPUR,607068,3,17.41272249664124,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,2,Banaskantha,671883,3,2.2098941567828545,Indian National Congress,Indian National Congress
Bihar,S04,4,Sheohar,476612,3,2.76079431452384,Janata Dal  (United),Janata Dal  (United)
Chhattisgarh,S26,10,BASTAR,458398,3,5.483946217719959,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,13,Junagadh,584049,3,12.683699460708281,Bharatiya Janata Party,Bharatiya Janata Party
Maharashtra,S13,1,Nandurbar,745998,3,11.417345151538855,Indian National Congress,Indian National Congress
Madhya Pradesh,S12,28,KHANDWA,862679,3,17.848826677209622,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,17,Gopalganj,511866,3,11.963948234616812,Janata Dal  (United),Janata Dal  (United)
Gujarat,S06,1,Kachchh,659574,3,24.542782450370126,Bharatiya Janata Party,Bharatiya Janata Party
Assam,S03,10,Kaziranga,897043,3,15.273412407964237,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,24,Begusarai,649331,3,6.293481056606575,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,27,Banka,506678,3,10.239460437507086,Janata Dal  (United),Janata Dal  (United)
Bihar,S04,1,ValmikiNagar,523422,3,8.95555575724023,Janata Dal  (United),Janata Dal  (United)
Karnataka,S10,9,Bellary,730845,3,7.122167270780788,Indian National Congress,Indian National Congress
Karnataka,S10,15,UdupiChikmagalur,732234,3,21.081113177129335,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,23,BHILWARA,807640,3,27.185476791922692,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,22,RAJSAMAND,781203,3,32.33148961776561,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,3,Patan,591947,3,2.671639601885806,Bharatiya Janata Party,Bharatiya Janata Party
Chhattisgarh,S26,1,SURGUJA,713200,3,4.454296765752586,Bharatiya Janata Party,Bharatiya Janata Party
Himachal Pradesh,S08,2,MANDI,537022,3,7.359151809885711,Bharatiya Janata Party,Bharatiya Janata Party
Chhattisgarh,S26,11,KANKER,597624,3,0.14888231579962552,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,19,Dahod,688715,3,29.838039012996585,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,2,BIKANER,566737,3,4.981838212543882,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,17,DakshinaKannada,764132,3,10.538999978810121,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,37,Aurangabad,465567,3,8.363745929716243,Rashtriya Janata Dal,Rashtriya Janata Dal
Bihar,S04,11,Katihar,567092,3,4.256170905794566,Indian National Congress,Indian National Congress
Tripura,S23,2,TripuraEast,777447,3,42.91630853047354,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,10,Rajkot,857984,3,38.024658786282664,Bharatiya Janata Party,Bharatiya Janata Party
Tripura,S23,1,TripuraWest,881341,3,50.55161599888909,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,14,Amreli,580872,3,36.63378311460409,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,18,Panchmahal,794579,3,45.014878519342076,Bharatiya Janata Party,Bharatiya Janata Party
Karnataka,S10,6,Raichur,670966,3,6.138799140363449,Indian National Congress,Indian National Congress
Assam,S03,5,Guwahati,894887,3,15.699120101488756,Bharatiya Janata Party,Bharatiya Janata Party
Madhya Pradesh,S12,23,MANDSOUR,945761,3,34.92555242721968,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,14,Darbhanga,566630,3,17.394921225092368,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,13,Madhepura,640649,3,14.427934314021307,Janata Dal  (United),Janata Dal  (United)
Bihar,S04,40,Jamui,509046,3,11.486745238365126,Lok Janshakti Party(Ram Vilas),Lok Janshakti Party(Ram Vilas)
Jharkhand,S27,11,Khunti,511647,3,15.979275784097485,Indian National Congress,Indian National Congress
Uttarakhand,S28,3,Almora,429167,3,35.01840696368122,Bharatiya Janata Party,Bharatiya Janata Party
Madhya Pradesh,S12,25,DHAR,794449,3,15.344438487513374,Bharatiya Janata Party,Bharatiya Janata Party
Rajasthan,S20,25,JHALAWAR-BARAN,865376,3,26.101520335516494,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,26,Valsad,764226,3,15.476883909414575,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,16,Anand,612484,3,7.7004612279949205,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,8,AhmedabadWest,611704,3,29.63204730583895,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,21,ChhotaUdaipur,796589,3,31.456261206150575,Bharatiya Janata Party,Bharatiya Janata Party
Gujarat,S06,4,Mahesana,686406,3,30.464132121501414,Bharatiya Janata Party,Bharatiya Janata Party
Madhya Pradesh,S12,27,KHARGONE,819863,3,8.661785064967564,Bharatiya Janata Party,Bharatiya Janata Party
Bihar,S04,19,Maharajganj,529533,3,10.122284685374055,Bharatiya Janata Party,Bharatiya Janata Party
Assam,S03,14,Jorhat,751771,3,10.379323729836965,Indian National Congress,Indian National Congress
Gujarat,S06,23,Bardoli,763950,3,17.19161702130837,Bharatiya Janata Party,Bharatiya Janata Party
